SKU,Product Id,Status,ProductName,Color,Cut,Material,Gender,BrandSegment,Pillar,MerchPlannerCategory,Sleeve,ProductType,SizeChart,SizeChartMessaging,Price,SalePrice,Description,ActualStartDate,TargetLaunchDate,InitialSeasonLaunch,LifeCycle,InitialPairsOrdered,NikeProductID,InstanceID,FOB,APS,ProdManOnly,MainColorHex,AccentColorHex,X Ref Style,Comments,CORE,dyoVersionProductID,dyoVersionInspirationID,images,page-attributes,bundled-products
R443W202,MP_1459,Online,Women's Allen Street Hoodie,Tapestry,,100% Cotton,Women,,Apparel,Hoodies,,regular,Standard Size Chart,Runs true to size,78,54.99,Playing Favorites. This garment dyed hoodie with tonal drawstrings and asymmetrical zipper plays well with others. 100% dense rugby jersey cotton. 100% Cotton. Made in China. Machine wash cold.,08/09/11,08/09/11,"11 Fall





11 


Fall",Runout,,,,,,FALSE,1874CD,,,,N,,,,,
R220W202,MP_1459,Online,Women's Allen Street Hoodie,Stone Grey,,100% Cotton,Women,,Apparel,Hoodies,,regular,Standard Size Chart,Runs true to size,78,,,,,10 Fall,Runout,,,,,,FALSE,,,,pending,N,,,,,
R204M300,MP_1621,Online,Men's Garment Dyed Pullover Hoodie,Evergreen,,Cotton,Men,,Apparel,Hoodies,,regular,Standard Size Chart,Runs true to size,68,0,"Go Wide. A big, warm hug around the neck with a hood to seal in the warmth. Garment dyed shawl neck hooded sweatshirt with single front pocket. Heavy weight cotton slub jersey material. 100% Cotton. Made in China. Machine wash cold. Warning: Color fading may occur after wash.",02/22/12,02/23/12,12 Spring,Runout,70,,,,,FALSE,6E8B3D,,R310M204,,N,,,,,
R204M123,,Online,ROYAL SHAWL COLLAR GD PO,Vanilla Ice,,Cotton,Men,,Apparel,Hoodies,,regular,Standard Size Chart,,68,0,,,04/01/13,13 Summer,Runout,20,,,,,FALSE,,,,,N,,,,,
R204M004,MP_1621,Online,Men's Garment Dyed Pullover Hoodie,Raven Grey,,Cotton,Men,,Apparel,Hoodies,,regular,Standard Size Chart,Runs true to size,68,0,"Go Wide. A big, warm hug around the neck with a hood to seal in the warmth. Garment dyed shawl neck hooded sweatshirt with single front pocket. Heavy weight cotton slub jersey material. 100% Cotton. Made in China. Machine wash cold. Warning: Color fading may occur after wash.",02/22/12,02/23/12,12 Spring,Runout,40,,,,,FALSE,7F7F7F,,R310M204,,N,,,,,
R202W105,MP_1459,Online,Women's Allen Street Hoodie,Egret,,100% Cotton,Women,,Apparel,Hoodies,,regular,Standard Size Chart,Runs true to size,78,0,Playing Favorites. This garment dyed hoodie with tonal drawstrings and asymmetrical zipper plays well with others. 100% dense rugby jersey cotton. 100% Cotton. Made in China. Machine wash cold.,08/09/11,08/09/11,11 Fall,Runout,,,,,,FALSE,FFFFFF,,R210W202,,N,,,,,
R111M910,MP_2013,Online,Graphic Barrel Bag,Vintage White,,Canvas,Unisex,,Accessories,Bags,Barrel Bag,regular,Standard Size Chart,,40,,,,,10 Summer,Runout,,,,,,FALSE,,,,pending,N,,,,,
R053M910,MP_2013,Online,Graphic Barrel Bag,Monument,,Canvas,Unisex,,Accessories,Bags,Barrel Bag,regular,Standard Size Chart,,40,,,,,10 Summer,Runout,,,,,,FALSE,,,,pending,N,,,,,
R005M546,MP_1367,Online,Men's Box Star Ringer Tee,Grape Royale,,100% Cotton,Men,,Apparel,Tees,,regular,Standard Size Chart,Runs true to size,28,19.99,Box Star Tee 100% Cotton. Made in Peru. Machine wash cold.,04/26/11,05/01/11,11 Summer,Clearance,,,,,,FALSE,5D478B,,R211M005,,N,,,,,
R005M435,MP_1367,Online,Men's Box Star Ringer Tee,Olympian Blue,,100% Cotton,Men,,Apparel,Tees,,regular,Standard Size Chart,Runs true to size,28,19.99,Box Star Tee 100% Cotton. Made in Peru. Machine wash cold.,04/26/11,05/01/11,11 Summer,Clearance,,,,,,FALSE,27408B,,R211M005,,N,,,,,
R005M319,MP_1367,Online,Men's Box Star Ringer Tee,Foliage Green,,100% Cotton,Men,,Apparel,Tees,,regular,Standard Size Chart,Runs true to size,28,19.99,Box Star Tee 100% Cotton. Made in Peru. Machine wash cold.,04/26/11,05/01/11,11 Summer,Clearance,,,,,,FALSE,548B54,,R211M005,,N,,,,,
R005M013,MP_1367,Online,Men's Box Star Ringer Tee,Phantom,,100% Cotton,Men,,Apparel,Tees,,regular,Standard Size Chart,Runs true to size,28,19.99,Box Star Tee 100% Cotton. Made in Peru. Machine wash cold.,04/26/11,05/01/11,11 Summer,Clearance,,,,,,FALSE,363636,,R211M005,,N,,,,,
R002W202,MP_1459,Online,Women's Allen Street Hoodie,Phantom,,100% Cotton,Women,,Apparel,Hoodies,,regular,Standard Size Chart,Runs true to size,78,,,,,10 Fall,Runout,,,,,,FALSE,,,,pending,N,,,,,
P501W009,,Online,Copley Rocker Seamed Denim,Transmission,,Cotton & Spandex,Women,,Apparel,Pants & Shorts,,regular,Standard Size Chart,,78,0,,08/09/11,08/09/11,11 Fall,Runout,,,,,,FALSE,,,P311W501,,N,,,,,
P039W823,MP_1238,Online,Women's Chuck Patch Scoop Tee,Hot Coral,,100% Cotton,Women,,Apparel,Tees,,regular,Standard Size Chart,Runs true to size,25,19.99,"Get the scoop. Keep a low profile with this lightweight, deep neck tee with the iconic Chuck patch across the chest. 100% cotton. Made in Peru. Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",08/03/12,07/24/12,12 Fall,Runout,,,,,,FALSE,FF6103,,P311W039,,N,,,,,
P039W035,MP_1238,Online,Women's Chuck Patch Scoop Tee,Vintage Grey,,100% Cotton,Women,,Apparel,Tees,,regular,Standard Size Chart,Runs true to size,34,24.99,"Get the scoop. Keep a low profile with this lightweight, deep neck tee with the iconic Chuck patch across the chest. 100% cotton. Made in Peru. Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",08/23/12,07/24/12,12 Fall,Runout,,,,,,FALSE,919191,,P311W039,,N,,,,,
P039W001,MP_1238,Online,Women's Chuck Patch Scoop Tee,Jet Black,,100% Cotton,Women,,Apparel,Tees,,regular,Standard Size Chart,Runs true to size,25,19.99,"Get the scoop. Keep a low profile with this lightweight, deep neck tee with the iconic Chuck patch across the chest. 100% cotton. Made in Peru. Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",08/23/12,07/24/12,12 Fall,Runout,,,,,,FALSE,0,,,,N,,,,,
P023W655,MP_1432,Online,Converse Logo V-Neck Tee,Raspberry,,100% Cotton,Women,,Apparel,Tees,,regular,Standard Size Chart,Runs true to size,28,19.99,Take the plunge. Move from understated to edgy in this lightweight V-neck made with distressed screen-print of Converse star logo. Cotton/polyester blend. Made in Guatemala.  Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.,08/07/12,07/24/12,12 Fall,Runout,,,,,,FALSE,FF6A6A,,P311W023,,N,,,,,
P023W333,MP_1432,Online,Converse Logo V-Neck Tee,Parasailing Heather,,100% Cotton,Women,,Apparel,Tees,,regular,Standard Size Chart,Runs true to size,28,19.99,Take the plunge. Move from understated to edgy in this lightweight V-neck made with distressed screen-print of Converse star logo. Cotton/polyester blend. Made in Guatemala.  Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.,08/03/12,07/24/12,12 Fall,Runout,,,,,,FALSE,00C78C,,P311W023,,N,,,,,
P023W100,MP_1432,Online,Converse Logo V-Neck Tee,Bright White,,100% Cotton,Women,,Apparel,Tees,,regular,Standard Size Chart,Runs true to size,25,19.99,Take the plunge. Move from understated to edgy in this lightweight V-neck made with distressed screen-print of Converse star logo. Cotton/polyester blend. Made in Guatemala.  Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.,08/09/11,08/09/11,11 Fall,Runout,,,,,,FALSE,FFFFFF,,P311W023,,N,,,,,
P023W001,MP_1432,Online,Converse Logo V-Neck Tee,Jet Black,,100% Cotton,Women,,Apparel,Tees,,regular,Standard Size Chart,Runs true to size,25,19.99,Take the plunge. Move from understated to edgy in this lightweight V-neck made with distressed screen-print of Converse star logo. Cotton/polyester blend. Made in Guatemala.  Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.,08/09/11,08/09/11,11 Fall,Runout,,,,,,FALSE,0,,P311W023,,N,,,,,
O057M001,,Online,Men's Star Chevron Tee,Jet Black,,100% Cotton,Men,,Apparel,Tees,,regular,Standard Size Chart,,28,4.99,,,,11 Fall,Runout,,,,,,FALSE,,,O311M057-001,pending,N,,,,,
M9697,MP_51,Online,Chuck Taylor All Star,Navy,Low,Canvas,Unisex,All Star,All Star,Chuck Taylor - Core,Core,regular,Chuck Size Chart,Runs a half-size large,50,0,,07/15/02,07/15/02,02 Fall,Core,,,,,,FALSE,1E2A5C,,,,Y,,,,,
M9696,MP_51,Online,Chuck Taylor All Star,Red,Low,Canvas,Unisex,All Star,All Star,Chuck Taylor - Core,Core,regular,Chuck Size Chart,Runs a half-size large,50,0,,07/15/02,07/15/02,02 Fall,Core,,,,,,FALSE,DC143C,,,,Y,,,,,
M9691,,Online,Chuck Taylor All Star,Maroon,Low,Canvas,Unisex,,All Star,Chuck Taylor- Seasonal                      ,Seasonals,regular,Chuck Size Chart,Runs a half-size large,50,,,,,,Runout,,,,,,FALSE,,,,pending,N,,,,,
